dispatch_id,timestamp,agent,task_type,model_endpoint,virtual_model,step_budget,steps_taken,prompt_template_id,prompt_excerpt,patch_generated,verification_passed,failure_mode,harness_strengths_revealed,harness_weaknesses_revealed,prompt_refinement
dsp_20260902_001,2026-09-02T16:45:00Z,trae-cli,ast_refactor,http://localhost:11434/v1,local-router/fallback-models,30,18,TPL_TRAE_AST_V1,"Refactor provider registry interfaces and update imports across 6 files",true,true,none,"Rapid AST exploration across files; created clean unified diff patch","Hesitated on non-existent imports if not explicitly given root path","Provide absolute workspace root and explicit list of target file paths"
dsp_20260902_002,2026-09-02T17:10:00Z,mini-live,bug_reproduce,http://localhost:11434/v1,local-router/fallback-models,25,14,TPL_MINI_TDD_REPRO_V1,"Reproduce 502 Bad Gateway during fallback cascade and write regression test",true,true,none,"Generated standalone reproduction python script and iterated until test passed","Can generate bloated debug probes if test runner is not specified","Always specify exact test framework command (e.g. node --test, pytest)"
dsp_20260902_003,2026-09-02T17:40:00Z,trae-cli,multi_file_edit,http://localhost:11434/v1,local-router/fallback-models,35,35,TPL_TRAE_AST_V1,"Update config API routes and UI page handlers without step bounds",false,false,step_exhaustion,"Explored all files thoroughly","Exhausted steps exploring unrelated UI css files when not given scoped files","Constrain exploration scope to target files and set max-steps 25-30"
dsp_20260902_004,2026-09-02T18:05:00Z,mini-live,test_hardening,http://localhost:11434/v1,local-router/fallback-models,30,12,TPL_MINI_TEST_HARDEN_V1,"Add edge case tests for circuit breaker half-open transitions",true,true,none,"Fast execution of bash test commands and assertions","Sometimes modifies production code when only tests were requested","Prepend prompt with 'STRICT: DO NOT modify production source files; only append tests'"
dsp_20260902_005,2026-09-02T18:35:00Z,free-claude-code,investigation,http://localhost:11434/v1,local-router/fallback-models,10,4,TPL_FCC_INVESTIGATE_V1,"Diagnose why port 11434 was held by foreign ollama process",false,true,none,"Extremely fast single-turn diagnostic analysis with lsof and ps","Not designed for deep multi-file patch generation","Use free-claude-code for rapid inspection, delegate code modifications to trae-cli"
dsp_20260902_006,2026-09-02T19:00:00Z,trae-cli,api_endpoint,http://localhost:11434/v1,local-router/fallback-models,25,16,TPL_TRAE_API_V1,"Add POST /api/headroom-config/probe endpoint and wire into Express router",true,true,none,"Precise code replacement matching surrounding conventions","Missed updating TypeScript interface until reminded by compiler error","Include TypeScript type definitions directly in task file specification"
dsp_20260902_007,2026-09-02T19:30:00Z,mini-live,tool_synthesis_loop,http://localhost:11434/v1,local-router/fallback-models,30,28,TPL_MINI_TDD_REPRO_V1,"Debug WebSocket stream disconnect during Anthropic message translation",false,false,tool_synthesis_loop,"Wrote 4 custom python socket probes","Looping on probe refinement instead of fixing the TypeScript handler","Add directive: 'If test reproduces within 3 attempts, proceed immediately to editing source'"
dsp_20260902_008,2026-09-02T20:00:00Z,trae-cli,sec_audit,http://localhost:11434/v1,local-router/fallback-models,20,9,TPL_TRAE_AUDIT_V1,"Audit repo for banned crypto algorithms and hardcoded secrets",true,true,none,"Fast ripgrep and AST checks for banned crypto (RSA, ECDSA, SHA-1)","Verbose output on clean repositories","Instruct agent to report findings in tabular markdown format"
dsp_20260902_009,2026-09-02T20:15:00Z,omp,perf_opt,http://localhost:11434/v1,local-router/fallback-models,15,6,TPL_OMP_SCRIPT_V1,"Write standalone Python utility to benchmark router latency under load",true,true,none,"Clean standalone python script generation without dependencies","Does not verify execution in repository runtime environment","Specify python interpreter and required standard library modules only"
dsp_20260902_010,2026-09-02T20:25:00Z,trae-cli,ast_refactor,http://localhost:11434/v1,local-router/fallback-models,25,11,TPL_TRAE_AST_V2,"Refactor Headroom compression caching to WeakMap to eliminate circular JSON",true,true,none,"Instantly grasped WeakMap memory model and replaced circular object reference","Did not update all test files in first pass","List both source and test files in task specification with acceptance criteria"
dsp_20260903_011,2026-09-03T00:19:55Z,trae-cli,ast_refactor,http://localhost:11434/v1,local-router/fallback-models,25,12,TPL_TRAE_AST_V2,Refactored Trae Mini Fleet SKILL.md and added dataset script,true,true,none,Clean script integration,None,Automate pre-dispatch template query
